Field,Value
product_title,U.S. Polo Assn. Denim Co.
image_urls,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27566344/2024/6/24/562f983e-fd15-4ae1-b4c7-88be196ac5c51719219308877USPoloAssnDenimCoBrandLogoPrintedPureCottonSlimFitT-shirt1.jpg, https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27566344/2024/6/24/5f849abf-ffe7-4857-8f1a-33039e408e8f1719219308887USPoloAssnDenimCoBrandLogoPrintedPureCottonSlimFitT-shirt2.jpg, https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27566344/2024/6/24/a6bd1e5d-4a3d-406b-8a16-31777f3a3b531719219308895USPoloAssnDenimCoBrandLogoPrintedPureCottonSlimFitT-shirt3.jpg, https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27566344/2024/6/24/9eb47a29-01bb-49e6-9fe3-03252571c2271719219308903USPoloAssnDenimCoBrandLogoPrintedPureCottonSlimFitT-shirt4.jpg"
product_details,"Black T-shirt for men Brand logo printed Regular length Round neck Short, regular sleeves Knitted pure cotton fabric"
size_fit,Slim Fit The model (height 6') is wearing a size M
material_and_care,100% Cotton' Machine wash
Fabric,Pure Cotton
Fit,Slim Fit
Length,Regular
Main Trend,Typography or Slogan Print
Multipack Set,Single
Neck,Round Neck
Number of Items,1
Occasion,Casual
Package Contains,1 T-shirt
Pattern,Printed
Pattern Coverage,Chest
Print or Pattern Type,Brand Logo
Sleeve Length,Short Sleeves
Sleeve Styling,Regular Sleeves
Sustainable,Regular
Wash Care,Machine Wash
Weave Type,Knitted
