review_title,review_text
Awesome trainers,"The trainers ticked all the boxes, they were awesome, BUT after watching loads of reviewers videos I ordered half a size bigger than my normal size only to find out that they were too big. If I had my correct size it would be 5 stars."
Something new and interesting,"Comfortable, stylish, and little different. Light weight good for exercising with style."
Very pleased with the Fit and Feel.,I use these shoes as a Law Enforcement Officer in the School. I walk around all day and sometimes take off running. Love these!  Very comfortable. I just haven't figured out how to tighten them up.
Nike Zoom Vomero Roam 9.5,"The shoes are absolutely comfortable the thickened sole provides great alleviation when running in and out of traumas. The toggle lacing system is state of the art along with the water repellent finish and mud guard make it feel like you're wearing a Gore-Tex sneaker. if you do like your sneakers, snug go with half size down. I  went with a  9 1/2  but put an extra insole to accommodate. Thank you, Nike for the beautiful shoes. #TeamNike"
Comfort for the everyday hustle,"Love the look, gonna buy more. Real fashionable colors , The assorted variety gives you  choice to mix and match"
Awesome Shoe,I suggest wearing a thicker sock the Nike Zoom Roam Men’s Winterized Shoe is great fit and super Comfortable. I was told by a Nike Customer Service Representative the shoe is unisex.
Lasted all weekend in the snowy mountains,Bought these shoes for a winter weekend up in the Colorado mountains. They were waterproof and kept my feet insulated from the wet snow all weekend (it snowed at least 6in per day). Add a pair of thermal socks and youre good to go.
Comfortable is the Word,Good and Comfortable!!True to size for me !!
Need them all!,Shoes are super comfortable. Glad I bought them. I also purchased the orange pair as well. Will purchase other colorways in the future.
Great Winter Shoe with Minor Fit Issues,"The Nike Zoom Vomero Roam Men’s Winterized Shoes are an excellent choice for winter conditions, with a few minor drawbacks.Starting with the fit and feel, the shoes feel snug and secure, especially with the adjustable toggle lace system, which is a nice touch for quick adjustments. However, they do run slightly narrow, so I recommend going up half a size if you plan to wear thicker socks during colder weather.The design is sleek and functional, with reflective details that are perfect for low-light conditions. The combination of textile and suede gives the shoes a premium look while maintaining durability. The rubber mudguard is a practical addition for keeping feet dry and debris-free.The fabric is top-notch, with a water-repellent finish that performed well during rainy and slushy conditions. The shoes are lightweight, which is impressive considering the added features for winterization.What I liked most about these shoes is the comfort provided by the Air Zoom units and foam midsole. They offer excellent cushioning for long walks or runs, even on uneven terrain. The traction on icy surfaces was also a standout feature.If there’s one thing I would change, it would be the narrow fit. It might not be ideal for everyone, especially those with wider feet. A slightly roomier toe box would make these shoes perfect.Overall, the Vomero Roam shoes have been a reliable companion for winter runs and walks. They keep my feet warm and dry while offering great comfort and style. Definitely recommend them for anyone looking for a versatile winter shoe!"
No Title,Amazing sneaker extremely comfortable worth every dollar! True to size I want every color
Amazing,I doubt it at first but it's really one of the most comfortable shoes I have ever put on. Be it in the office or the snow it just works. The winterized element in this roam is absolutely incredible. I love the lace feature and how the tabs around it helps with putting it on.
Love Them,"I love these and they are comfortable, Do not hesitate to purchase."
"Nike Zoom Vomero Roam, Men's Winterized Shoes",These Nike look good on the feet. They run a bit large I wear a 10 normally but these I had to change for a 1/2 size smaller.  Which fix perfect. They wear well a grip the floor great. I'm enjoying them.
No Title,Great shoe! Soles have great grip for walking on ice or on the mountain trails! Super comfy!
"Great shoe, but doesn’t fit my feet well","I’m surprised to find that I don’t love this shoe. It is very comfortable, however, the lacing system does not work for me, my heel slips no matter how tight I pull the toggle, but length, width feel great, so it’s not too big.  I’m also noticing my feet are rolling inward, slightly. I’m disappointed because the shoe feels great as far as comfort & support goes. The one time I’ve worn them it was rainy & icy and they kept my feel try. I’m going to try switching out the laces to see if that helps."
Best Winter Sneakers,These winterized sneakers feel like walking on clouds. Really comfortable and well constructed sneakers to withstand the cold weather.
Great winter shoe,"Great comfortable winter shoe. Its thick sole helps with slick conditions.  Waterproof is also great.  They are not extremely fitted, so not a great running shoe. But walking around in winter is awesome."
Perfect winter sneaker!,"Amazingly comfortable shoe and stylish too! They run a 1/2 size smaller due to the winterized rubber wrap around the toe and whole shoe. They stood up to a very cold and rainy two week trip to Paris and Milan. They’re like winter boots in sneaker form. The grip is also great on wet surfaces and the raised platform keeps your feet dry and warm in puddles. Also, the winterized rubber is easy to wipe clean (for those of us who hate dirty sneakers)!!!"
"Tough, Yet Comfortable",Very comfortable out the box!! Stood up to inclement weather in Paris for a week straight!! Highly recommended!!
Awesome shoe,I love this shoe.  I purchased the Summit White/Light Bone color and highly recommend it.  The shoe fits true to size for me.
No Title,I loved is a gift to my husband. He like
Comfy Vomeros,This is a beyond comfortable shoe. Very well put together and worth the buy.
L James,I weigh 250 lbs and my first visual inspection of these shoes I thought I would send them back but after trying them on and walking in them I was very impressed. So I wore them to a Cavs game where I walk a mile to the Arena  and these shoes didn't disappoint very comfortable simply some of  best shoes I have purchased not very good on the eyes but confront level is world class and I highly recommend
Nike Zoom Vomero Roam Men's Winterized Shoes,"I'm a big fan of the Vomeros and the Vomero Roam Men's Winterized Shoes didn't disappoint. Similar to the regular Vomero, these are super comfortable and the fit is true to size. I like how this version was made for wet weather and I don't have to worry about getting my feet wet. The rubber mudguard and layers of textile and suede on the upper was a different change. I also like how this shoe has a lace toggle so you don't have to worry about your shoe laces coming untied. The shoe is chunky but still felt light and not heavy at all."
Vomero roam,"These shoes are great. Not only are they stylish, they are super comfortable! They fit true to size and you can truly wear them all day. Because they are winterized, they keep your feet dry and warm which is great for winter time. The only downfall to them is the traction. Because you want to wear them during bad weather, I wish the traction was better to combat the elements. Other than that, these shoes are great!"
No Title,"I’ve been confused with quality of the shoe that I received , too much glue on the fabrics"
