product_title,image_url,description,total_ratings,total_reviews,review_title,review_text
L'Oreal Professionnel Absolut Repair Shampoo & Hair Mask Combo For Damaged Hair,"https://images-static.nykaa.com/media/catalog/product/8/a/8aca6d1NYBNDLP000001_1.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""A must buy masque.. good for dry and damaged hair..""",Really good masque.. Leaves hair smooth and soft and manageable.. Use along with the shampoo..
L'Oreal Professionnel Absolut Repair Shampoo & Hair Mask Combo For Damaged Hair,"https://images-static.nykaa.com/media/catalog/product/8/a/8aca6d1NYBNDLP000001_1.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Good smail""",First time I ordered
L'Oreal Professionnel Absolut Repair Shampoo & Hair Mask Combo For Damaged Hair,"https://images-static.nykaa.com/media/catalog/product/8/a/8aca6d1NYBNDLP000001_1.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""L’Oréal absolut repair mask""",This is my constant. My hair are curly frizzy and super dry they even get tangle badly.. no other conditioner works for me.. I buy this mask on repeat.. tub after tub 😍
L'Oreal Professionnel Absolut Repair Shampoo & Hair Mask Combo For Damaged Hair,"https://images-static.nykaa.com/media/catalog/product/8/a/8aca6d1NYBNDLP000001_1.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Perfect for damaged hairs!!!""",Very nice treatment for chemical treated hairs....love this mask
L'Oreal Professionnel Absolut Repair Shampoo & Hair Mask Combo For Damaged Hair,"https://images-static.nykaa.com/media/catalog/product/8/a/8aca6d1NYBNDLP000001_1.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Loved it... ♥♥""",I m totally in love with this... I used it for the first time & the results are Amazing... Earlier I used Liss Unlimited that was also good... L'Oreal Expert Series Absolut R...Read More
L'Oreal Professionnel Absolut Repair Shampoo & Hair Mask Combo For Damaged Hair,"https://images-static.nykaa.com/media/catalog/product/8/a/8aca6d1NYBNDLP000001_1.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""One of Best Shampoo!!""","It solves the dull & frizzy hair problems making hair soft treats the split ends too..
Recommend to use twice a week along with loreal masque ,combination works very well.....Read More"
L'Oreal Professionnel Absolut Repair Shampoo & Hair Mask Combo For Damaged Hair,"https://images-static.nykaa.com/media/catalog/product/8/a/8aca6d1NYBNDLP000001_1.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Really amazed by the quality of the shampoo.""",It really softens the hairs and settle down all the split ends.
L'Oreal Professionnel Absolut Repair Shampoo & Hair Mask Combo For Damaged Hair,"https://images-static.nykaa.com/media/catalog/product/8/a/8aca6d1NYBNDLP000001_1.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Good product""",Really like this shampoo
L'Oreal Professionnel Absolut Repair Shampoo & Hair Mask Combo For Damaged Hair,"https://images-static.nykaa.com/media/catalog/product/8/a/8aca6d1NYBNDLP000001_1.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Awesome product""","Love this mask. smell is, also good."
L'Oreal Professionnel Absolut Repair Shampoo & Hair Mask Combo For Damaged Hair,"https://images-static.nykaa.com/media/catalog/product/8/a/8aca6d1NYBNDLP000001_1.jpg?tr=w-344,h-344,cm-pad_resize",Description not found,0,0,"""Loreal professional shampoo""",Very nice   and i uploaded pic of  before shampoo and after washing and after dry hair difference
